track_id,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,favorite
5s7j77zpP6e9uz2Q1DU851,192784,58,0.268,0.496,0.833,0.0,0.0858,-3.398,0.287,134.944,5,0
6SCSFTRB2ueJIhYQ2VJK68,155121,43,0.589,0.59,0.435,0.0,0.106,-9.943,0.274,109.288,5,0
3TgXcCEDCEEEIYR9Jbq7e1,201108,39,0.109,0.594,0.705,1.2e-05,0.175,-4.583,0.183,127.708,5,0
6Yblv6BbZHIkyrpYl4E0Zk,153146,60,0.0099,0.867,0.725,6.26e-06,0.127,-5.199,0.141,91.966,4,0
5cn8rUjix0GZj4Tkh9TTJZ,169230,37,0.176,0.834,0.558,1.67e-05,0.0879,-8.274,0.166,116.977,4,0
1QPIsbNZiuDv9NBjvkZYNU,231026,49,0.222,0.692,0.677,0.00106,0.0975,-5.792,0.302,101.637,4,0
4ebB5SB54qE1jdJ7VUU6wa,176000,39,0.672,0.806,0.395,1.25e-06,0.0844,-7.589,0.045,110.977,4,0
3FhIvkpWTHu4Vc7ZtSWdzb,157244,35,0.586,0.855,0.505,5.37e-05,0.121,-7.464,0.275,105.035,4,0
2v2EN5kpfhHdaZheU0X2m1,152565,43,0.0579,0.74,0.516,0.0787,0.164,-8.783,0.0384,139.988,4,0
3JrYkRVUNq5QLUgVJMCLYz,169211,52,0.00124,0.857,0.6,2.75e-05,0.124,-8.694,0.38,156.065,4,0
3R60ekRcGXuaoZmnbdlf3n,205640,68,0.275,0.763,0.704,0.0,0.108,-4.818,0.308,90.005,4,0
1JseAs562lQva7llJ0bibp,209235,47,0.0367,0.691,0.688,0.0,0.0736,-7.698,0.387,101.275,4,0
2DqsOLmZv2C0IxYyG9SlmI,190400,44,0.384,0.936,0.538,0.000201,0.0794,-5.622,0.188,103.02,4,0
0xag33jIARIViFERSXWDEV,216000,13,0.245,0.774,0.585,5.59e-06,0.0771,-6.158,0.32,99.464,4,0
7aIC4z5XBdEAI9kqycYxMV,190094,58,0.393,0.712,0.674,0.0,0.104,-7.454,0.183,102.007,4,0
3XdmxkGq16K3L1VcKChi57,205069,50,0.00276,0.575,0.634,0.0054,0.219,-6.026,0.127,126.444,5,0
6rdaW0ZtNeQv4J2lmOf4sS,163200,48,0.00524,0.819,0.525,1.61e-05,0.0954,-8.85,0.104,124.856,4,0
75NPgaRFGvx1UFteD7yNZ6,170106,54,0.0725,0.704,0.662,0.0,0.105,-5.926,0.215,94.063,4,0
63Sb1AMnhb37DR59uXZdQd,185080,63,0.196,0.576,0.597,0.0,0.049,-6.659,0.318,101.174,4,0
115OL2ZaNEl3eXhY5GphtW,190240,37,0.422,0.73,0.715,0.000827,0.143,-5.215,0.214,102.846,4,0
60eJ3MVSGh1Wias2xfZVdp,222350,54,0.488,0.677,0.649,0.0,0.187,-4.9,0.224,105.332,4,0
5DCoLPjn4bBNmf41iVG5Vh,170501,42,0.225,0.711,0.619,0.00584,0.0996,-10.797,0.0564,107.033,4,0
3AMxuq6id3YGB57eWeheZQ,201960,62,0.144,0.959,0.508,9.82e-05,0.136,-7.857,0.257,107.998,4,0
4DmgUMnnCw27Tu5Jvqhm1n,211120,61,0.0482,0.738,0.521,5.75e-06,0.108,-8.909,0.495,192.003,4,0
4Dech2aFB9vMxRFF4rJAM1,237784,57,0.0343,0.593,0.701,0.0,0.0841,-4.587,0.32,134.814,5,0
5vIXEk3u02WHbcD0h2ozhm,208426,57,0.0302,0.561,0.71,0.0,0.122,-4.676,0.351,99.011,4,0
2NwRZNRIlPt0qneUynCtro,160580,50,0.278,0.886,0.511,0.0,0.103,-8.854,0.264,105.03,4,0
23VmCwnw95Zqbeapi31iGt,216520,40,0.194,0.865,0.531,0.0817,0.114,-5.688,0.32,99.947,4,0
4HTKztrMHpvn2sAl4HcK3J,206261,44,0.131,0.813,0.727,0.0,0.127,-2.84,0.243,110.268,4,0
2Xs2HQqDDb00tsaWFYKyXt,195662,46,0.672,0.739,0.449,0.0,0.116,-8.415,0.0584,157.956,4,0
0gEV1AR0gd59DzrMJalYcK,171333,59,0.469,0.87,0.685,3.68e-06,0.281,-6.3,0.297,134.961,4,0
7086QbyiN4ITmlngO7XwgA,270158,46,0.0926,0.856,0.348,0.0763,0.0662,-10.113,0.0784,117.983,4,0
1Iz87RGfw3AByk09mQ9t5T,194053,47,0.234,0.619,0.694,0.0,0.116,-6.746,0.125,99.072,4,0
3rqmxZNh2BRgJ3BiCPFTSG,240160,66,0.619,0.727,0.761,0.0,0.077,-5.686,0.436,91.108,4,0
57XA5uPB0JtQTPCyRRrwGp,201600,47,0.0688,0.469,0.848,1.4e-05,0.159,-4.556,0.338,73.936,3,0
3B0WbRucJ6ZIla2G9IVt2E,178137,66,0.0954,0.821,0.666,0.0,0.319,-7.237,0.342,145.066,4,0
15EPc80XuFrb2LmOzGjuRg,176702,79,0.133,0.728,0.607,0.0,0.0864,-8.417,0.132,129.938,4,0
54I1dC6Ux5I4h7U44DmjgK,180705,46,0.0876,0.724,0.432,3.22e-05,0.0828,-9.945,0.203,84.992,4,0
6LXe2xtReWDWGnHCA5I3uO,169600,56,0.617,0.712,0.532,0.00745,0.121,-6.286,0.0494,99.951,4,0
4n358XQMHXd0xi6NazWdxr,162146,67,0.148,0.742,0.645,2.86e-05,0.0861,-10.248,0.386,112.402,4,0
3X6YJcqTinaNraRvojF62K,162590,66,0.0779,0.822,0.503,0.0,0.161,-6.889,0.285,71.524,4,0
0wY9rA9fJkuESyYm9uzVK5,171818,69,0.00558,0.784,0.586,0.000286,0.106,-3.417,0.187,132.169,4,0
6zWU7YALeEDMcPGhKKZJhV,194157,72,0.117,0.567,0.593,1.32e-06,0.248,-7.404,0.288,88.545,4,0
7jaYiqwCFQDdtxfQaSzZuM,258784,54,0.0303,0.849,0.703,0.0,0.0831,-7.069,0.193,115.052,4,0
